Date,Open,High,Low,Close,Volume
2018-12-28,10780.9,10893.6,10534.55,10859.9,1225480000.0
2019-01-04,10913.2,10923.6,10628.65,10727.35,1238410000.0
2019-01-11,10804.85,10870.4,10733.25,10794.95,1395230000.0
2019-01-18,10807.0,10930.65,10692.35,10906.95,1481540000.0
2019-01-25,10919.35,10987.45,10756.45,10780.55,1713000000.0
2019-02-01,10792.45,10983.45,10583.65,10893.65,2273790000.0
2019-02-08,10876.75,11118.1,10814.15,10943.6,1501240000.0
2019-02-15,10930.9,10930.9,10620.4,10724.4,2049180000.0
2019-02-22,10738.65,10808.85,10585.65,10791.65,1602580000.0
2019-03-01,10813.25,10939.7,10729.3,10863.5,2134620000.0
2019-03-08,10864.85,11089.05,10817.0,11035.4,1393550000.0
2019-03-15,11068.75,11487.0,11059.85,11426.85,1884730000.0
2019-03-22,11473.85,11572.8,11412.5,11456.9,1398840000.0
2019-03-29,11395.65,11630.35,11311.6,11623.9,1871450000.0
2019-04-05,11665.2,11761.0,11559.2,11665.95,1747160000.0
2019-04-12,11704.35,11710.3,11549.1,11643.45,1447130000.0
2019-04-19,11667.0,11856.15,11648.25,11752.8,983970000.0
2019-04-26,11727.05,11796.75,11564.8,11754.65,1805940000.0
2019-05-03,11748.75,11789.3,11655.9,11712.25,1218430000.0
2019-05-10,11605.8,11657.05,11251.05,11278.9,1769730000.0
2019-05-17,11258.7,11426.15,11108.3,11407.15,1932730000.0
2019-05-24,11651.9,12041.15,11591.7,11844.1,2132680000.0
2019-05-31,11855.5,12039.25,11812.4,11922.8,2124820000.0
2019-06-07,11953.75,12103.05,11769.5,11870.65,1322190000.0
2019-06-14,11934.9,12000.35,11797.7,11823.3,1757430000.0
2019-06-21,11844.0,11844.05,11625.1,11724.1,2018440000.0
2019-06-28,11725.8,11911.15,11651.0,11788.85,1690040000.0
2019-07-05,11839.9,11981.75,11797.9,11811.15,1846470000.0
2019-07-12,11770.4,11771.9,11461.0,11552.5,1920800000.0
2019-07-19,11614.75,11706.65,11399.3,11419.25,2258090000.0
2019-07-26,11392.85,11398.15,11210.05,11284.3,2464520000.0
2019-08-02,11307.5,11310.95,10848.95,10997.35,2545950000.0
2019-08-09,10895.8,11181.45,10782.6,11109.65,2593450000.0
2019-08-16,11139.4,11145.9,10901.6,11047.8,1607090000.0
2019-08-23,11094.8,11146.9,10637.15,10829.35,2707350000.0
2019-08-30,11000.3,11141.75,10756.55,11023.25,3197680000.0
2019-09-06,10960.95,10967.5,10746.35,10946.2,2084730000.0
2019-09-13,10936.7,11084.45,10889.8,11075.9,2275360000.0
2019-09-20,10994.85,11381.9,10670.25,11274.2,3438220000.0
2019-09-27,11542.7,11694.85,11416.1,11512.4,3658090000.0
2019-10-04,11491.15,11554.2,11158.35,11174.75,4015370000.0
2019-10-11,11196.2,11362.9,11090.15,11305.05,2774170000.0
2019-10-18,11335.9,11684.7,11290.05,11661.85,3299460000.0
2019-10-25,11657.15,11714.35,11490.75,11583.9,3044270000.0
2019-11-01,11662.25,11945.0,11604.6,11890.6,4104060000.0
2019-11-08,11928.9,12034.15,11850.25,11908.15,3410560000.0
